Author,Quote,Pathway
Julian Hall*,Developing a mindful “practice” is exactly that. For very good reasons it is not called developing a mindful “ instant result.”*,Meaning & Purpose
Mitch Albom*,All endings are also beginnings. We just don’t know it at the time.*,Meaning & Purpose
Joanne Raptis*,Be like a tree. Stay grounded. Connect with your roots. Turn over a new leaf. Bend before you break. Enjoy your unique natural beauty. Keep growing.*,Meaning & Purpose
Eckhart Tolle*,The greater part of human pain is unnecessary. It is self-created as long as the unobserved mind runs your life.*,Meaning & Purpose
Dalai Lama*,We are so accustomed to faulty states of mind that it is difficult to change with just a little practice. Just a drop of something sweet cannot change a taste that is powerfully bitter. We must persist in the face of failure.*,Meaning & Purpose
Elbert Hubbard*,Men are only as great as they are kind.*,Meaning & Purpose
Byron Katie*,Taking responsibility for your beliefs and judgements gives you the power to change them.*,Meaning & Purpose
Hafiz of Shiraz*,"I wish I could show you, when you are lonely or in darkness, the astonishing light of your own being.*",Meaning & Purpose
Dodinsky*,The key to being happy is knowing you have the power to choose what to accept and what to let go.*,Meaning & Purpose
Frank A. Clark*,Real generosity is doing something nice for someone who will never find out.*,Meaning & Purpose
Channing Pollock*,Happiness is a way station between too little and too much.*,Meaning & Purpose
E.E. Cummings*,It takes courage to grow up and become who you really are.*,Meaning & Purpose
Atul Purohit*,"Life is about trusting your feelings and taking chances, losing and finding happiness, appreciating the memories, learning from the past, and realizing people change.*",Meaning & Purpose
Benjamin Franklin*,"When you’re finished changing, you’re finished.*",Meaning & Purpose
Natalie Babbitt*,Don’t be afraid of death; be afraid of an unlived life. You don’t have to live forever; you just have to live.*,Meaning & Purpose
KT Witten*,Your dream doesn’t have an expiration date. Take a deep breath and try again.*,Meaning & Purpose
Rosalyn S. Yalow*,The excitement of learning separates youth from old age. As long as you’re learning you’re not old.*,Meaning & Purpose
Viktor E. Frankl*,"For the meaning of life differs from man to man, from day to day and from hour to hour. What matters, therefore, is not the meaning of life in general but rather the specific meaning of a person's life at a given moment.*",Meaning & Purpose
Viktor E. Frankl*,Between stimulus and response there is a space. In that space is our power to choose our response. In our response lies our growth and our freedom.*,Meaning & Purpose
Chinese Proverb*,People who say it cannot be done should not interrupt those who are doing it.*,Meaning & Purpose
Friedrich Nietzsche*,"To live is to suffer, to survive is to find some meaning in the suffering.*",Meaning & Purpose
Daisaku Ikeda*,"The person who lives life fully, glowing with life’s energy, is the person who lives a successful life.*",Meaning & Purpose
Joseph Campbell*,I don’t believe people are looking for the meaning of life as much as they are looking for the experience of being alive.*,Meaning & Purpose
Friedrich Nietzsche*,He who has a why to live can bear almost any how.*,Meaning & Purpose
Steven Pinker*,Morality is not just any old topic in psychology but close to our conception of the meaning of life. Moral goodness is what gives each of us the sense that we are worthy human beings.*,Meaning & Purpose
Mitch Albom*,"The way you get meaning into your life is to devote yourself to loving others, devote yourself to your community around you, and devote yourself to creating something that gives you purpose and meaning.*",Meaning & Purpose
Julian Hall*,There are times it feels like a struggle to bring a sense of meaning and purpose to our lives. Don’t give up hope. When we choose to look for it we can find meaning and purpose in the simplest of tasks.*,Meaning & Purpose
Mahatma Gandhi*,"Happiness is when what you think, what you say, and what you do are in harmony.*",Meaning & Purpose
Wayne Dyer*,"You get World Peace through Inner Peace. If you've got a world full of people who have Inner Peace, then you have a Peaceful World.*",Meaning & Purpose
Carl Rogers*,"The curious paradox is that when I accept myself just as I am, then I can change.*",Meaning & Purpose
Julian Hall*,Trust is not a gift to others.It is a gift to ourselves.  The one who trusts themselves and others sleeps peacefully.*,Stress
Julian Hall*,"Not trusting someone does not miraculously make them more trustworthy. It just makes you hyper vigilant, stressed and grumpy. Your choice.*",Stress
Erica Layne*,Balance isn’t fitting everything in. It's starting with what’s important and letting the rest fall as it will.*,Stress
Danielle Orner*,Life is a balance between what we can control and what we cannot. I am learning to live between effort and surrender.*,Stress
Thich Nhat Hanh*,"In true dialogue, both sides are willing to change.*",Stress
Kahlil Gibran*,"Our anxiety does not come from thinking about the future, but from wanting to control it.*",Stress
Glenn Turner*,"Worrying is like a rocking chair, it gives you something to do, but it gets you nowhere.*",Stress
Joyce Meyer*,Worry is a downpayment on a problem you may never have.*,Stress
Dalai Lam*,"There are only two days in the year that nothing can be done. One is called yesterday and the other is called tomorrow, so today is the right day to love, believe, do, and mostly, love.*",Stress
Mark Twain*,A man cannot be comfortable without his own approval.*,Stress
Rachel Wolchin*,Maturity is realizing how many things don’t require your comment.*,Stress
Eunice Camacho Infante*,"In the end, people will judge you anyway. So don’t live your life impressing others. Live your life impressing yourself.*",Stress
Byron Katie*,"When you argue with reality, you lose, but only 100% of the time.*",Stress
Bryant McGill*,Your calm mind is the ultimate weapon against your challenges. So Relax.*,Stress
Matt Kahn*,"Despite how open, peaceful, and loving you attempt to be, people can only meet you as deeply as they have met themselves.*",Stress
Seneca*,You are your choices.*,Stress
Cheryl Strayed*,You don’t have a right to the cards you think you should have been dealt. You have an obligation to play the hell out of the ones you’re holding.*,Stress
Eckhart Tolle*,"On a deeper level you are already complete. When you realize that, there is a playful, joyous energy behind what you do.*",Stress
Marcu Aurelius*,"People look for retreats for themselves, in the country, by the coast, or in the hills . . . There is nowhere that a person can find a more peaceful and trouble-free retreat than in his own mind. . . . So constantly give yourself this retreat, and renew yourself.*",Stress
Julian Hall*,"Our ability to take two separate pieces of information, intuitively draw a connection between them and then commit to that as if it were a fact is quite amazing. It is also a major source of conflict, both internal and external, for many people.*",Stress
Julian Hall*,Change is part of our lives. It is best dealt with continually. Little and often. Leave it too long and just like tectonic plates the energy released and the difficulty dealing with it is more intense. We know this intuitively yet many of us act in the opposite way.*,Stress
Julian Hall*,Your physical & emotional signs of stress are a sign that you are not dealing with feelings of vulnerability. It’s ok to feel vulnerable. It’s also healthy to notice and take action.*,Stress
Eckhart Tolle*,"When you become comfortable with uncertainty, infinite possibilities open up in your life.*",Stress
Eckhart Tolle*,Worry means the mind is controlling you. Worry is always pointless. A solution never comes out of worry.*,Stress
Carl Rogers*,The only person who cannot be helped is that person who blames others.*,Stress
Julian Hall*,If you can judge them for it you are capable of the same. Just because you choose not to behave that way does not make you better than them. Judgement blocks empathy every time.*,Self Esteem
Julian Hall*,"Don’t look to be completed by love, as if there is some part of you missing. Love’s job is to compliment someone who is already good enough.*",Self Esteem
Daisaku Ikeda*,"Genuine sincerity opens people's hearts, while manipulation causes them to close.*",Self Esteem
Byron Katie*,"A thought is harmless unless we believe it. It’s not our thoughts, but our attachment to our thoughts, that causes suffering. Attaching to a thought means believing that it’s true, without inquiring. A belief is a thought that we’ve been attaching to, often for years.*",Self Esteem
Walter Anderson*,Our lives only improve when we take chances and the first and most difficult risk we can take is to be honest with ourselves.*,Self Esteem
Paulo Coelho*,How people treat other people is a direct reflection of how they feel about themselves.*,Self Esteem
Caroline Myss*,"When you do not seek or need approval, you are at your most powerful.*",Self Esteem
Johann Wolfgang von Goethe*,"The way you see people is the way you treat them, and the way you treat them is what they become.*",Self Esteem
Steve Furtick *,The reason we struggle with insecurity is because we compare our behind-the-scenes with everyone else’s highlight reel.*,Self Esteem
Mandy Hale*,"You will never gain anyone’s approval by begging for it. When you stand confident in your own worth, respect follows.*",Self Esteem
Idil Ahmed*,Don’t personalize or internalize other people’s behaviour. What they do is not a reflection of you. Their actions represent them and where they are in their growth. Just observe instead of getting caught up and overreacting emotionally.*,Self Esteem
Byron Katie*,It’s not your job to like me - It’s mine.*,Self Esteem
Pema Chodron *,"Without giving up hope  -  that there's somewhere better to be, that there’s someone better to be -  we will never relax with where we are or who we are.*",Self Esteem
Cheng Yen*,"Happiness does not come from having much, but from being attached to little.*",Self Esteem
Eleanor Roosevelt*,No one can make you feel inferior without your consent.*,Self Esteem
Daniell Koepke*,"The truth is that the way other people see us isn’t about us - it’s about them and their own struggles, insecurities, and limitations.You don’t have to allow their judgement to become your truth.*",Self Esteem
Michael Josephson*,"When someone is nasty or treats you poorly, don’t take it personally. It says nothing about you but a lot about them.*",Self Esteem
Zen Shin*,A flower does not think of competing with the flower next to it. It just blooms.*,Self Esteem
Wilson Kanadi*,"Those who judge will never understand, and those who understand will never judge.*",Self Esteem
Mandy Hale*,"If you don’t love yourself, you’ll always be chasing after people who don’t love you either.*",Self Esteem
Tony A Gaskins Jnr*,"You teach people how to treat you by what you allow, what you stop, and what you reinforce.*",Self Esteem
George Bernard Shaw*,Life isn't about finding yourself. Life is about creating yourself.*,Self Esteem
Julian Hall*,By learning to like myself more I make myself immune to the pain I cause myself when I imagine others may not feel the same.*,Self Esteem
Julian Hall*,"Affirming to myself that “I am enough” every day is important. It is vital that I am the one I get this message from. Receiving it from others can lead to disbelief at best, over dependence on others and self rejection at worst.*",Self Esteem
Julian Hall*,Self Esteem...the clue is in the first word. Don't make it other’s responsibility to make or break yours.*,Self Esteem
Julian Hall*,Those behaviours we criticise in others are the parts of us we seek to suppress. Try being more accepting of yourself it allows you to be a nicer person.*,Self Esteem
Julian Hall*,"The more needy you are, the more opportunity you give yourself to experience others as not meeting your needs. It’s the ultimate self fulfilling victim prophecy.*",Self Esteem
Julian Hall*,The challenge many of us have in today’s world is that we rely too much on other people’s validation for our source of happiness. The person with the greatest influence over your happiness is you.*,Self Esteem
Julian Hall*,"When you can take responsibility for liking, listening and respecting yourself you let others off the hook of unrealistic expectations and can enjoy healthy adult to adult relationships with them.*",Self Esteem
Julian Hall*,Have you noticed when you are not feeling good about yourself you are more judgemental of others? Give yourself a break and those around you.*,Self Esteem
Eleanor Roosevelt*,I am who I am today because of the choices I made yesterday.*,Self Esteem
Byron Katie*,"Spare yourself from seeking love, approval, or appreciation-from anyone. And watch what happens in reality, just for fun.*",Self Esteem
Debbie Ford*,"By choosing not to allow parts of ourselves to exist, we are forced to expend huge amounts of psychic energy to keep them beneath the surface.*",Self Esteem
Debbie Ford*,"The greatest act of courage is to be and to ownall of who you are without apology, without excuses, without masks to cover the truth of who you are.*",Self Esteem
Rhonda Byrne*,"Treat yourself with love and respect, and you will attract people who show you love and respect.*",Self Esteem
Julian Hall*,"When I experience myself as not OK...it is not OK!!...I don’t like it. So don’t tell me it is OK. However, as I start to realise it is a normal part of the human experience to feel this way...in other words I am normal...that helps.*",Feelings
Laurence J. Peter*,Speak when you are angry and you’ll make the best speech you’ll ever regret.*,Feelings
Brené Brown*,Embracing our vulnerabilities is risky but not nearly as dangerous as giving up on love and belonging and joy—the experiences that make us the most vulnerable.*,Feelings
Kimberley Jones*,Don’t let people pull you into their storm. Pull them into your peace.*,Feelings
Jenni Young*,"Every situation in life is temporary. So, when life is good, make sure you enjoy and receive it fully. And when life is not so good, remember that it will not last forever and better days are on the way.*",Feelings
Fred Rogers*,"When we can talk about our feelings, they become less overwhelming, less upsetting and less scary.*",Feelings
Brene Brown*,"If you trade your authenticity for safety, you may experience the following; anxiety, depression, eating disorders, addiction, rage, blame, resentment and inexplicable grief.*",Feelings
Marcus Aurelius*,The happiness of your life depends on the quality of your thoughts.*,Feelings
Don Miguel Ruiz*,"Just imagine becoming the way you used to be as a very young child, before you understood the meaning of any word, before opinions took over your mind. The real you is loving, joyful, and free. The real you is just like a flower, just like the wind, just like the ocean, just like the sun.*",Feelings
Jack Kornfield*,"Like a sandcastle, all is temporary. Build it, tend it, enjoy it. And when the time comes, let it go.*",Feelings
Donald Miller*,"When you stop expecting people to be perfect, you can like them for who they are.*",Feelings
Cherie Carter-Scott*,"Anger makes you smaller, while forgiveness forces you to grow beyond what you are.*",Feelings
Alain de Botton*,The largest part of what we call “personality” is determined by how we have opted to defend ourselves against anxiety and sadness.*,Feelings
William Arthur Ward*,It is wise to direct your anger towards problems; not people. To focus your energies on answers; not excuses.*,Feelings
Byron Katie*,"Since the beginning of time people have been trying to change the world so that they can be happy. This hasn’t ever worked, because it approaches the problem backward.*",Feelings
Nassim Nicholas Taleb*,"My mood, my sadness,my bouts of anxiety are a second source of intelligence - perhaps even the first source.*",Feelings
Jaeda DeWalt*,"My Life isn’t good or bad. It’s an incredible series of emotional and mental extremes, with beautiful thunderstorms and stunning sunrises.*",Feelings
Elizabeth Earnshaw*,"When people set boundaries with you, it’s their attempt to continue the relationship with you. It’s not an attempt to hurt you.*",Feelings
Swedish Proverb*,Shared joy is a double joy; shared sorrow is half a sorrow.*,Feelings
Madelaine Petsch*,"The people who are bullying you, they're insecure about who they are, and that's why they're bullying you. It never has to do with the person they're bullying. They desperately want to be loved and be accepted, and they go out of their way to make people feel unaccepted so that they're not alone.*",Feelings
Carl Jung*,"Even a happy life cannot be without a measure of darkness, and the word happy would lose its meaning if it were not balanced by sadness. It is far better to take things as they come along with patience and equanimity.*",Feelings
Julian Hall*,"I’m not sure that happiness is the ultimate goal.While single feeling existence is a falsehood, if I were to choose one state it would be contentment. For me, contentment is happiness with a touch of wisdom. The wisdom gained from allowing all feelings their place.*",Feelings
Julian Hall*,"Stigma evokes shame, shame deepens secrets and secrets feed shame. Our culture needs to break that cycle. It’s not ok to have a mental illness or feel emotionally challenged. It hurts and it is scary. It is, however, normal.*",Feelings
Julian Hall*,"Your feelings are natural, valid and essential to your operation as a healthy human being. Not allowing yourself the full range of your feelings will give you a greater chance of suffering mental health challenges.*",Feelings
Julian Hall*,We have six core feelings and only one of them is happiness. It is no wonder that we can feel outnumbered and overwhelmed sometimes.*,Feelings
Julian Hall*,"Just because you ignore or suppress a negative feeling it does not go away. Eventually it returns, when least welcome, with double the power.*",Feelings
Julian Hall*,"We understand that happiness is not a permanent state. It comes and goes. Yet, we do not take the same view of hurt, sadness and fear. We push them away and in doing so increase their power, their intensity and their longevity. Sit with your feelings they are there for a reason.*",Feelings
Julian Hall*,"My sadness, hurt, shame and fear, my anger and my happiness, are all signals that help me understand life. They describe my experiences, they don’t define me. The same can be true for you. *",Feelings
Nelson Mandela*,"I learned that courage was not the absence of fear, but the triumph over it. The brave man is not he who does not feel afraid, but he who conquers that fear.*",Feelings
Wayne Dyer*,"Remember that any time you're filled with resentment, you're turning the controls of your emotional life over to others to manipulate.*",Feelings
Omar Suleiman*,A sign of a beautiful person is that they always see the beauty in others.*,Outlook
Ashley Hodgeson*,"The strongest people aren't always the people that win, but the people that don’t give up when they lose.*",Outlook
Michael Jordan*,"I've missed more than 9000 shots in my career. I've lost almost 300 games. 26 times, I've been trusted to take the game winning shot and missed. I've failed over and over and over again in my life. And that is why I succeed.*",Outlook
Byron Katie*,"As long as you think that the cause of your problem is “out there” – as long as you think that anyone or anything is responsible for your suffering – the situation is hopeless. It means that you are forever in the role of victim, that you’re suffering in paradise.*",Outlook
John Seely Brown*,"The harder you fight to hold onto specific assumptions, the more likely there’s gold in letting go of them.*",Outlook
Dalai Lama*,"Happiness mainly comes from our own attitude, rather than from external factors.*",Outlook
Buddha*,"In our lives change is unavoidable, loss is unavoidable. In the adaptability and ease with which we experience change lies our happiness and freedom*",Outlook
Shannon Kaiser*,Ditch the expectations and let go of how your life is meant to turn out and you will be free. Life is supposed to flow and be natural.*,Outlook
Deepak Chopra*,People are doing the best they can from their own level of consciousness.*,Outlook
Robert Brault*,There are exactly as many special occasions in life as we choose to celebrate.*,Outlook
Rudyard Kipling*,I always prefer to believe the best of everybody; it saves so much trouble.*,Outlook
Roy Bennett*,"More smiling, less worrying. More compassion, less judgement. More blessed, less stressed. More love, less hate.*",Outlook
Ziad K. Abdelnour*,Life is like photography. You need the negatives to develop.*,Outlook
Dave Willis*,One of the truest signs of maturity is the ability to disagree with someone while still remaining respectful.*,Outlook
Krister Stendahl*,Our vision is more obstructed by what we think we know than by our lack of knowledge.*,Outlook
Byron Katie*,Peace doesn’t require two people; it requires only one. It has to be you. The problem begins and ends there.*,Outlook
George Bernard Shaw*,"A life spent making mistakes is not only more honourable, but more useful than a life spent doing nothing.*",Outlook
John Wooden*,Things turn out best for the people who make the best of the way things turn out.*,Outlook
Charles R. Swindoll*,We are all faced with a series of great opportunities brilliantly disguised as impossible situations.*,Outlook
Carl Rogers*,"The good life is a process, not a state of being. It is a direction, not a destination.*",Outlook
Kallam Anji Reddy*,"Everyone has a purpose in life and a unique talent to give to others. And when we blend this unique talent with service to others, we experience the ecstasy and exultation of our own spirit, which is the ultimate goal of all goals.*",Outlook
Simon Sinek*,"I find, when you're an optimist, life has a funny way of looking after you.*",Outlook
Julian Hall*,"We are our most important influencer. We create the filters we see life through every day, we determine our responses to events and dictate the quality of our relationship with the world. Improve your self-talk.*",Outlook
Julian Hall*,It never ceases to amaze me the improvement in my quality of relationships when I make a choice to view others behaviours positively.*,Outlook
Julian Hall*,"I can make my relationship with negativity too complex. In the end it is simple. They are thoughts. Only thoughts.  Just because I am the one who thinks them, that does not make them true. I don’t have to engage with my own negativity.*",Outlook
Julian Hall*,"True kindness springs from empathy and the understanding that we all struggle. Sometimes the kindest thing I can do for you, however, is to hand you back the gift of responsibility and accountability where, within that place of struggle, you will grow.*",Outlook
Mahatma Gandhi*,A man is but a product of his thoughts. What he thinks he becomes.*,Outlook
Eleanor Roosevelt*,You can often change your circumstances by changing your attitude.*,Outlook
Carl Jung*,Show me a sane man and I will cure him for you.*,Outlook
Byron Katie*,"A mind that doesn't question its judgements, makes the world very small and dangerous.*",Outlook
Wayne Dyer*,The law of flying was not discovered by the contemplation of things staying on the ground.*,Outlook
Eckhart Tolle*,"When you complain, you make yourself a victim. Leave the situation, change the situation or accept it, all else is madness.*",Outlook
Rhonda Byrne*,"You are free to think thoughts of worry or joy, and whatever you choose will attract the same kind back to you. Worry attracts worry. Joy attracts joy.*",Outlook
Tibetan Proverb*,"The secret to living well and longer is: eat half, walk double, laugh triple and love without measure.*",Physical
Maya Angelou*,"Do the best you can until you know better. Then when you know better, do better.*",Physical
Dan Gilbert*,Human beings are works in progress that mistakenly think they’re finished.*,Physical
Lao Tzu*,Silence is a source of great strength.*,Physical
Ritu Ghatourey*,"People are not as beautiful as they look and talk. They are only as beautiful as they love, as they care, as they share.*",Physical
Simon Sinek*,There is a difference between listening and waiting for your turn to speak.*,Physical
Julian Hall*,"DON’T JUST DO SOMETHING...STAND THERE!! Leaping into action is not always the best thing you can do. Often simply giving time, attention and listening to the other person is what they really need.*",Physical
Julian Hall*,The only person who can take full responsibility for your emotional wellbeing is you. What will you do for yourself today?*,Physical
Julian Hall*,"Managing your food appropriately, both quality, quantity and timing can have a meaningful impact upon both your physical and your emotional energy levels. We are our own ecosystem.*",Physical
Nelson Mandela*,"Do not judge me by my successes, judge me by how many times I fell down and got back up again.*",Physical
Byron Katie*,"When you discover that all happiness is inside you, the wanting and needing are over, and life gets very exciting.*",Physical
Wayne Dyer*,Every thought you have affects everything in your body.*,Physical
Eckhart Tolle*,Be aware of your breathing. Notice how this takes attention away from your thinking and creates space.*,Physical
Louise Hay*,"If we are willing to do the mental work, almost anything can be healed.*",Physical
Maya Angelou*,"Courage is the most important of all the virtues because without courage, you can't practice any other virtue consistently.*",Physical
Bonnie Prudden*,The best way to offset tension is with physical activity.*,Physical
John F. Kennedy*,Intelligence and skill can only function at the peak of their capacity. when the body is healthy and strong.*,Physical
Hippocrates*,Walking is man's best medicine*,Physical
Hippocrates*,Let food be thy medicine and medicine be thy food*,Physical
Jack LaLanne*,"Nutrition is King, Exercise is Queen, put them together and you have a Kingdom.*",Physical
Ellie Krieger*,"A balanced life is like a three legged stool. Each leg - nutrition, fitness and wellness- is necessary and supports the other.*",Physical
Carl Rogers*,"People are just as wonderful as sunsets if you let them be. When I look at a sunset, I don't find myself saying, ""Soften the orange a bit on the right hand corner."" I don't try to control a sunset. I watch with awe as it unfolds.*",Physical
Sigmund Freud*,Out of your vulnerabilities will come your strength.*,Physical
Sigmund Freud*,-*,Physical
Julian Hall*,A journal listens to you like almost no one else can listen...unconditionally and non-judgmentally. Make journaling part of your emotional health maintenance.*,The Past
Vienna Pharaon*,"Avoiding your triggers isn’t healing. Healing happens when you’re triggered and you’re able to move through the pain, the pattern, and the story, and walk away to a different ending.*",The Past
Lester Levinson*,We can have peace if we let go of wanting to change the past and wanting to control the future.*,The Past
Iain Thomas*,Be soft. Do not let the world make you hard. Do not let pain make you hate. Do not let the bitterness steal your sweetness.*,The Past
Don Miguel Ruiz*,Letting go of the past means that you can enjoy the dream that is happening right now.*,The Past
Marianne Williamson*,"Forgiveness is the choice to see people as they are now. When we’re mad at people, we’re angry because of something they said or did before this moment. By letting go of the past, we make room for miracles to replace our grievances.*",The Past
Marianne Williamson*,"Forgiveness is not always easy. At times, it feels more painful than the wound we suffered to forgive the one that inflicted it. And yet, there is no peace without forgiveness.*",The Past
Lewis B. Smedes*,You will know that forgiveness has begun when you recall those that hurt you and feel the power to wish them well.*,The Past
Najwa Zebian*,"Never wish them pain. That’s not who you are. If they caused you pain, they must have pain inside. Wish them healing. That’s what they need.*",The Past
Jennie Young*,"Pause and remember: If you empty yourself of yesterday’s sorrows, you will have much more room for today’s joy.*",The Past
Karen Salmansohn*,"Sometimes you just need to talk about something - not to get sympathy or help, but just to kill its power by allowing the truth of things to hit the air.*",The Past
Catherine Ponder*,"When you hold resentment towards another, you are bound to that person or condition by an emotional link that is stronger than steel. Forgiveness is the only way to dissolve that link and get free.*",The Past
Carl Bard*,"Though no one can go back and make a brand new start, anyone can start from now and make a brand new ending.*",The Past
Trent Shelton*,Sometimes the only closure you need is the understanding that you deserve better.*,The Past
Marianne Williamson*,We do not heal the past by dwelling there; we heal the past by living fully in the present.*,The Past
Steve Maraboli*,Why let go of yesterday? Because yesterday has already let go of you.*,The Past
Buddha*,Those who are free of resentful thoughts surely find peace*,The Past
Josh Shipp*,"You either get bitter or you get better. You either take what has been dealt to you and allow it to make you a better person or you allow it to tear you down. The choice does not belong to fate, it belongs to you.*",The Past
Julian Hall*,"We often mix up forgiveness with something we do for another. It is, ultimately, an act of kindness to ourselves.*",The Past
Julian Hall*,"It seems to me that a disposition to hold on to resentment is actually a form of self harm. Not letting go of a grudge doesn’t hurt them, but you can remember the pain time and time again.*",The Past
Mahatma Gandhi*,The weak can never forgive. Forgiveness is the attribute of the strong.*,The Past
Carl Jung*,Nothing has a stronger influence psychologically on their environment and especially on their children than the unlived life of the parent.*,The Past
Carl Jung*,"I am not what happened to me, I am what I choose to become.*",The Past
Eckhart Tolle*,You cannot find yourself by going into the past. You can find yourself by coming into the present.*,The Past
